nohup: 忽略输入
2025-01-12 12:26:25.049692: I tensorflow/core/util/port.cc:110] oneDNN custom operations are on. You may see slightly different numerical results due to floating-point round-off errors from different computation orders. To turn them off, set the environment variable `TF_ENABLE_ONEDNN_OPTS=0`.
2025-01-12 12:26:25.099338: I tensorflow/core/platform/cpu_feature_guard.cc:182] This TensorFlow binary is optimized to use available CPU instructions in performance-critical operations.
To enable the following instructions: AVX2 AVX512F AVX512_VNNI FMA, in other operations, rebuild TensorFlow with the appropriate compiler flags.
2025-01-12 12:26:25.860171: W tensorflow/compiler/tf2tensorrt/utils/py_utils.cc:38] TF-TRT Warning: Could not find TensorRT
Namespace(add_num_times=2, alpha=0.4, anneal_cap=0.2, bert_mask_prob=0.3, best_metric='NDCG@10', block_num=2, cand_num=100, ch=True, context_window=2, dataset_path='data/KuaiRand/kuai.csv', decay_step=5, device='cpu', dilations=[1, 4], dropout=0.3, early_stop=True, embedding_size=32, epochs=100, eval=True, factor_num=128, gamma=0.5, hidden_size=128, hidden_size_list=[128, 128], init_method='default', is_mp=False, is_parallel=False, is_pretrain=1, item_min=10, k=20, kd=False, kernel_size=3, l2_emb=0.0, latent_dim=128, lifelong_eval=True, ll_max_itemnum=0, local_rank=None, loss_type='BPR', lr=0.0001, max_len=20, mess_dropout=0.1, metric_ks=[5, 20], model_name='mmoe', mtl_task_num=6, negsample_savefolder='./data/neg_data/', negsample_size=99, node_dropout=0.1, num_embedding=1, num_gpu=1, num_groups=4, num_heads=4, num_items=1, num_labels=1, num_ng=4, num_users=1, optimizer='default', pad_token=0, pretrain_path='', prun_rate=0, re_epochs=20, reg_1=0.0, reg_2=0.0, rho=0.5, sample='random', sample_method='high-pop', sample_ratio=0.3, save_path='./checkpoint/', seed=100, source_path='', target_path='', task=-1, task1_out=0, task2_out=0, task3_out=0, task4_out=0, task_name='mtl', task_num=4, temp=7, test_batch_size=4096, test_method='ufo', test_size=0.1, total_anneal_steps=1000, train_batch_size=4096, user_profile='gender', val_batch_size=4096, val_method='ufo', val_size=0.1111, valid_rate=100, weight_decay=0.0)
digit_columns: ['show_user_num', 'play_user_num', 'complete_play_user_num', 'valid_play_user_num'] to index
  0%|          | 0/4 [00:00<?, ?it/s] 25%|██▌       | 1/4 [00:00<00:00,  6.15it/s] 50%|█████     | 2/4 [00:00<00:00,  6.27it/s] 75%|███████▌  | 3/4 [00:00<00:00,  6.43it/s]100%|██████████| 4/4 [00:00<00:00,  6.55it/s]100%|██████████| 4/4 [00:00<00:00,  6.46it/s]
categorical_columns: ['user_id', 'video_id', 'follow_user_num_range', 'tab', 'fans_user_num_range', 'friend_user_num_range', 'author_id', 'video_type', 'music_type', 'show_user_num', 'play_user_num', 'complete_play_user_num', 'valid_play_user_num'] to index
  0%|          | 0/13 [00:00<?, ?it/s] 15%|█▌        | 2/13 [00:00<00:01, 10.26it/s] 31%|███       | 4/13 [00:00<00:01,  8.52it/s] 38%|███▊      | 5/13 [00:00<00:01,  7.17it/s] 46%|████▌     | 6/13 [00:00<00:01,  6.60it/s] 54%|█████▍    | 7/13 [00:00<00:00,  6.68it/s] 62%|██████▏   | 8/13 [00:01<00:00,  6.21it/s] 77%|███████▋  | 10/13 [00:01<00:00,  8.54it/s] 92%|█████████▏| 12/13 [00:01<00:00, 10.35it/s]100%|██████████| 13/13 [00:01<00:00,  8.72it/s]
0it [00:00, ?it/s]19it [00:00, 199.36it/s]
Epoch 1 train loss is 4.179, total scene, click auc is 0.586, like auc is 0.502, follow auc is 0.504, 5s auc is 0.592, 10s auc is 0.575, 18s auc is 0.565
Epoch 1 val loss is 3.842, total scene, click auc is 0.638, like auc is 0.601, follow auc is 0.542, 5s auc is 0.644, 10s auc is 0.631, 18s auc is 0.630
Epoch 1 val loss is 4.179, scene 1, click auc is 0.508, like auc is 0.503, follow auc is 0.309, 5s auc is 0.510, 10s auc is 0.510, 18s auc is 0.534
Epoch 1 val loss is 4.179, scene 2, click auc is 0.555, like auc is 0.574, follow auc is 0.537, 5s auc is 0.543, 10s auc is 0.554, 18s auc is 0.564
Epoch 1 val loss is 4.179, scene 3, click auc is 0.582, like auc is 0.544, follow auc is 0.529, 5s auc is 0.552, 10s auc is 0.572, 18s auc is 0.582
Epoch 1 val loss is 4.179, scene 4, click auc is 0.542, like auc is 0.526, follow auc is 0.489, 5s auc is 0.534, 10s auc is 0.526, 18s auc is 0.526
Epoch 2 train loss is 2.673, total scene, click auc is 0.643, like auc is 0.556, follow auc is 0.485, 5s auc is 0.648, 10s auc is 0.636, 18s auc is 0.633
Epoch 2 val loss is 2.578, total scene, click auc is 0.647, like auc is 0.597, follow auc is 0.541, 5s auc is 0.652, 10s auc is 0.643, 18s auc is 0.645
Epoch 2 val loss is 2.673, scene 1, click auc is 0.507, like auc is 0.517, follow auc is 0.566, 5s auc is 0.512, 10s auc is 0.515, 18s auc is 0.542
Epoch 2 val loss is 2.673, scene 2, click auc is 0.562, like auc is 0.569, follow auc is 0.541, 5s auc is 0.548, 10s auc is 0.562, 18s auc is 0.576
Epoch 2 val loss is 2.673, scene 3, click auc is 0.585, like auc is 0.568, follow auc is 0.555, 5s auc is 0.563, 10s auc is 0.573, 18s auc is 0.596
Epoch 2 val loss is 2.673, scene 4, click auc is 0.550, like auc is 0.534, follow auc is 0.475, 5s auc is 0.538, 10s auc is 0.533, 18s auc is 0.533
Epoch 3 train loss is 2.570, total scene, click auc is 0.651, like auc is 0.617, follow auc is 0.492, 5s auc is 0.655, 10s auc is 0.647, 18s auc is 0.649
Epoch 3 val loss is 2.559, total scene, click auc is 0.654, like auc is 0.622, follow auc is 0.575, 5s auc is 0.659, 10s auc is 0.651, 18s auc is 0.654
Epoch 3 val loss is 2.570, scene 1, click auc is 0.506, like auc is 0.519, follow auc is 0.470, 5s auc is 0.512, 10s auc is 0.516, 18s auc is 0.548
Epoch 3 val loss is 2.570, scene 2, click auc is 0.569, like auc is 0.591, follow auc is 0.562, 5s auc is 0.556, 10s auc is 0.571, 18s auc is 0.585
Epoch 3 val loss is 2.570, scene 3, click auc is 0.590, like auc is 0.584, follow auc is 0.612, 5s auc is 0.573, 10s auc is 0.580, 18s auc is 0.604
Epoch 3 val loss is 2.570, scene 4, click auc is 0.553, like auc is 0.556, follow auc is 0.470, 5s auc is 0.544, 10s auc is 0.539, 18s auc is 0.539
Epoch 4 train loss is 2.554, total scene, click auc is 0.656, like auc is 0.634, follow auc is 0.531, 5s auc is 0.661, 10s auc is 0.654, 18s auc is 0.658
Epoch 4 val loss is 2.546, total scene, click auc is 0.658, like auc is 0.634, follow auc is 0.616, 5s auc is 0.663, 10s auc is 0.656, 18s auc is 0.661
Epoch 4 val loss is 2.554, scene 1, click auc is 0.505, like auc is 0.520, follow auc is 0.374, 5s auc is 0.513, 10s auc is 0.519, 18s auc is 0.553
Epoch 4 val loss is 2.554, scene 2, click auc is 0.574, like auc is 0.603, follow auc is 0.595, 5s auc is 0.560, 10s auc is 0.577, 18s auc is 0.593
Epoch 4 val loss is 2.554, scene 3, click auc is 0.593, like auc is 0.583, follow auc is 0.653, 5s auc is 0.579, 10s auc is 0.585, 18s auc is 0.608
