nohup: 忽略输入
2025-01-12 12:26:46.975748: I tensorflow/core/util/port.cc:110] oneDNN custom operations are on. You may see slightly different numerical results due to floating-point round-off errors from different computation orders. To turn them off, set the environment variable `TF_ENABLE_ONEDNN_OPTS=0`.
2025-01-12 12:26:47.027855: I tensorflow/core/platform/cpu_feature_guard.cc:182] This TensorFlow binary is optimized to use available CPU instructions in performance-critical operations.
To enable the following instructions: AVX2 AVX512F AVX512_VNNI FMA, in other operations, rebuild TensorFlow with the appropriate compiler flags.
2025-01-12 12:26:47.836925: W tensorflow/compiler/tf2tensorrt/utils/py_utils.cc:38] TF-TRT Warning: Could not find TensorRT
Namespace(add_num_times=2, alpha=0.4, anneal_cap=0.2, bert_mask_prob=0.3, best_metric='NDCG@10', block_num=2, cand_num=100, ch=True, context_window=2, dataset_path='data/KuaiRand/kuai.csv', decay_step=5, device='cpu', dilations=[1, 4], dropout=0.3, early_stop=True, embedding_size=32, epochs=100, eval=True, factor_num=128, gamma=0.5, hidden_size=128, hidden_size_list=[128, 128], init_method='default', is_mp=False, is_parallel=False, is_pretrain=1, item_min=10, k=20, kd=False, kernel_size=3, l2_emb=0.0, latent_dim=128, lifelong_eval=True, ll_max_itemnum=0, local_rank=None, loss_type='BPR', lr=0.0001, max_len=20, mess_dropout=0.1, metric_ks=[5, 20], model_name='ple', mtl_task_num=6, negsample_savefolder='./data/neg_data/', negsample_size=99, node_dropout=0.1, num_embedding=1, num_gpu=1, num_groups=4, num_heads=4, num_items=1, num_labels=1, num_ng=4, num_users=1, optimizer='default', pad_token=0, pretrain_path='', prun_rate=0, re_epochs=20, reg_1=0.0, reg_2=0.0, rho=0.5, sample='random', sample_method='high-pop', sample_ratio=0.3, save_path='./checkpoint/', seed=100, source_path='', target_path='', task=-1, task1_out=0, task2_out=0, task3_out=0, task4_out=0, task_name='mtl', task_num=4, temp=7, test_batch_size=4096, test_method='ufo', test_size=0.1, total_anneal_steps=1000, train_batch_size=4096, user_profile='gender', val_batch_size=4096, val_method='ufo', val_size=0.1111, valid_rate=100, weight_decay=0.0)
digit_columns: ['show_user_num', 'play_user_num', 'complete_play_user_num', 'valid_play_user_num'] to index
  0%|          | 0/4 [00:00<?, ?it/s] 25%|██▌       | 1/4 [00:00<00:00,  5.98it/s] 50%|█████     | 2/4 [00:00<00:00,  6.27it/s] 75%|███████▌  | 3/4 [00:00<00:00,  6.37it/s]100%|██████████| 4/4 [00:00<00:00,  6.45it/s]100%|██████████| 4/4 [00:00<00:00,  6.37it/s]
categorical_columns: ['user_id', 'video_id', 'follow_user_num_range', 'tab', 'fans_user_num_range', 'friend_user_num_range', 'author_id', 'video_type', 'music_type', 'show_user_num', 'play_user_num', 'complete_play_user_num', 'valid_play_user_num'] to index
  0%|          | 0/13 [00:00<?, ?it/s] 15%|█▌        | 2/13 [00:00<00:01,  9.58it/s] 23%|██▎       | 3/13 [00:00<00:01,  6.58it/s] 38%|███▊      | 5/13 [00:00<00:01,  7.47it/s] 46%|████▌     | 6/13 [00:00<00:01,  6.75it/s] 54%|█████▍    | 7/13 [00:01<00:00,  6.57it/s] 62%|██████▏   | 8/13 [00:01<00:00,  6.23it/s] 77%|███████▋  | 10/13 [00:01<00:00,  8.54it/s] 92%|█████████▏| 12/13 [00:01<00:00, 10.24it/s]100%|██████████| 13/13 [00:01<00:00,  8.53it/s]
0it [00:00, ?it/s]19it [00:00, 195.69it/s]
Epoch 1 train loss is 4.034, total scene, click auc is 0.621, like auc is 0.512, follow auc is 0.491, 5s auc is 0.637, 10s auc is 0.618, 18s auc is 0.606
Epoch 1 val loss is 3.717, total scene, click auc is 0.673, like auc is 0.632, follow auc is 0.549, 5s auc is 0.682, 10s auc is 0.675, 18s auc is 0.679
Epoch 1 val loss is 4.034, scene 1, click auc is 0.518, like auc is 0.440, follow auc is 0.867, 5s auc is 0.520, 10s auc is 0.526, 18s auc is 0.556
Epoch 1 val loss is 4.034, scene 2, click auc is 0.593, like auc is 0.602, follow auc is 0.548, 5s auc is 0.586, 10s auc is 0.599, 18s auc is 0.616
Epoch 1 val loss is 4.034, scene 3, click auc is 0.617, like auc is 0.585, follow auc is 0.417, 5s auc is 0.611, 10s auc is 0.622, 18s auc is 0.626
Epoch 1 val loss is 4.034, scene 4, click auc is 0.575, like auc is 0.612, follow auc is 0.365, 5s auc is 0.572, 10s auc is 0.573, 18s auc is 0.573
Epoch 2 train loss is 2.564, total scene, click auc is 0.677, like auc is 0.568, follow auc is 0.530, 5s auc is 0.685, 10s auc is 0.680, 18s auc is 0.682
Epoch 2 val loss is 2.501, total scene, click auc is 0.679, like auc is 0.639, follow auc is 0.595, 5s auc is 0.688, 10s auc is 0.683, 18s auc is 0.689
Epoch 2 val loss is 2.564, scene 1, click auc is 0.522, like auc is 0.526, follow auc is 0.157, 5s auc is 0.525, 10s auc is 0.529, 18s auc is 0.557
Epoch 2 val loss is 2.564, scene 2, click auc is 0.602, like auc is 0.612, follow auc is 0.594, 5s auc is 0.593, 10s auc is 0.609, 18s auc is 0.628
Epoch 2 val loss is 2.564, scene 3, click auc is 0.626, like auc is 0.595, follow auc is 0.645, 5s auc is 0.624, 10s auc is 0.636, 18s auc is 0.645
Epoch 2 val loss is 2.564, scene 4, click auc is 0.584, like auc is 0.594, follow auc is 0.380, 5s auc is 0.582, 10s auc is 0.586, 18s auc is 0.586
Epoch 3 train loss is 2.497, total scene, click auc is 0.682, like auc is 0.658, follow auc is 0.569, 5s auc is 0.690, 10s auc is 0.688, 18s auc is 0.695
Epoch 3 val loss is 2.493, total scene, click auc is 0.683, like auc is 0.663, follow auc is 0.640, 5s auc is 0.691, 10s auc is 0.687, 18s auc is 0.695
Epoch 3 val loss is 2.497, scene 1, click auc is 0.524, like auc is 0.595, follow auc is 0.181, 5s auc is 0.527, 10s auc is 0.532, 18s auc is 0.559
Epoch 3 val loss is 2.497, scene 2, click auc is 0.607, like auc is 0.635, follow auc is 0.635, 5s auc is 0.598, 10s auc is 0.614, 18s auc is 0.636
Epoch 3 val loss is 2.497, scene 3, click auc is 0.633, like auc is 0.635, follow auc is 0.665, 5s auc is 0.629, 10s auc is 0.643, 18s auc is 0.657
Epoch 3 val loss is 2.497, scene 4, click auc is 0.591, like auc is 0.602, follow auc is 0.395, 5s auc is 0.588, 10s auc is 0.593, 18s auc is 0.593
Epoch 4 train loss is 2.488, total scene, click auc is 0.687, like auc is 0.677, follow auc is 0.627, 5s auc is 0.695, 10s auc is 0.693, 18s auc is 0.702
Epoch 4 val loss is 2.486, total scene, click auc is 0.686, like auc is 0.678, follow auc is 0.690, 5s auc is 0.694, 10s auc is 0.691, 18s auc is 0.701
Epoch 4 val loss is 2.488, scene 1, click auc is 0.526, like auc is 0.604, follow auc is 0.182, 5s auc is 0.530, 10s auc is 0.534, 18s auc is 0.565
Epoch 4 val loss is 2.488, scene 2, click auc is 0.612, like auc is 0.651, follow auc is 0.680, 5s auc is 0.602, 10s auc is 0.620, 18s auc is 0.644
Epoch 4 val loss is 2.488, scene 3, click auc is 0.637, like auc is 0.657, follow auc is 0.676, 5s auc is 0.632, 10s auc is 0.646, 18s auc is 0.661
Epoch 4 val loss is 2.488, scene 4, click auc is 0.593, like auc is 0.622, follow auc is 0.430, 5s auc is 0.588, 10s auc is 0.598, 18s auc is 0.598
Epoch 5 train loss is 2.478, total scene, click auc is 0.692, like auc is 0.688, follow auc is 0.679, 5s auc is 0.699, 10s auc is 0.698, 18s auc is 0.708
Epoch 5 val loss is 2.482, total scene, click auc is 0.690, like auc is 0.689, follow auc is 0.730, 5s auc is 0.696, 10s auc is 0.695, 18s auc is 0.707
Epoch 5 val loss is 2.478, scene 1, click auc is 0.531, like auc is 0.615, follow auc is 0.233, 5s auc is 0.533, 10s auc is 0.540, 18s auc is 0.565
Epoch 5 val loss is 2.478, scene 2, click auc is 0.616, like auc is 0.662, follow auc is 0.715, 5s auc is 0.605, 10s auc is 0.625, 18s auc is 0.650
