epoch 	 scene 	 val_loss 	 click_auc 	 like_auc 	 follow_auc 	 5s_auc 	 10s_auc 	 18s_auc
1	total scene	4.0420	0.5450	0.4920	0.4580	0.5490	0.5370	0.5430
1	scene 1	4.3510	0.5100	0.4890	0.7780	0.4980	0.5010	0.5040
1	scene 2	4.3510	0.5160	0.4900	0.4540	0.5130	0.5140	0.5220
1	scene 3	4.3510	0.5050	0.4530	0.4710	0.5120	0.5080	0.5070
1	scene 4	4.3510	0.5170	0.5260	0.4660	0.5110	0.5070	0.5070
2	total scene	2.7620	0.5530	0.5160	0.5190	0.5590	0.5530	0.5540
2	scene 1	2.8100	0.4910	0.4930	0.4740	0.4990	0.4970	0.5060
2	scene 2	2.8100	0.5200	0.4840	0.4890	0.5160	0.5220	0.5300
2	scene 3	2.8100	0.5190	0.4320	0.4990	0.5290	0.5140	0.5210
2	scene 4	2.8100	0.5000	0.4910	0.7000	0.5030	0.5030	0.5030
3	total scene	2.7580	0.5590	0.5170	0.5240	0.5620	0.5590	0.5570
3	scene 1	2.7630	0.5090	0.4550	0.3940	0.4910	0.4950	0.5040
3	scene 2	2.7630	0.5230	0.4830	0.5050	0.5190	0.5270	0.5320
3	scene 3	2.7630	0.5310	0.5290	0.5300	0.5380	0.5330	0.5450
3	scene 4	2.7630	0.5190	0.4800	0.5920	0.5180	0.5130	0.5130
4	total scene	2.7520	0.5680	0.5190	0.5430	0.5740	0.5630	0.5640
4	scene 1	2.7580	0.5030	0.4420	0.3380	0.5000	0.5100	0.5180
4	scene 2	2.7580	0.5250	0.4820	0.5310	0.5200	0.5260	0.5340
4	scene 3	2.7580	0.5320	0.4860	0.4070	0.5360	0.5240	0.5330
4	scene 4	2.7580	0.5170	0.4950	0.6170	0.5120	0.5120	0.5120
5	total scene	2.7470	0.5740	0.5220	0.5290	0.5800	0.5710	0.5680
5	scene 1	2.7520	0.5110	0.4910	0.7940	0.5120	0.5130	0.5220
5	scene 2	2.7520	0.5290	0.4850	0.5010	0.5260	0.5310	0.5370
5	scene 3	2.7520	0.5430	0.5060	0.4950	0.5400	0.5380	0.5370
5	scene 4	2.7520	0.5230	0.4710	0.6220	0.5180	0.5150	0.5150
6	total scene	2.7410	0.5820	0.5200	0.5430	0.5890	0.5790	0.5760
6	scene 1	2.7460	0.5090	0.4560	0.8180	0.5040	0.5010	0.5090
6	scene 2	2.7460	0.5320	0.4830	0.5270	0.5290	0.5340	0.5420
6	scene 3	2.7460	0.5400	0.4310	0.4290	0.5420	0.5430	0.5320
6	scene 4	2.7460	0.5350	0.4960	0.4910	0.5330	0.5310	0.5310
7	total scene	2.7290	0.5900	0.5220	0.5500	0.5970	0.5870	0.5860
7	scene 1	2.7360	0.5140	0.4980	0.7210	0.5160	0.5190	0.5330
7	scene 2	2.7360	0.5400	0.4820	0.5300	0.5350	0.5420	0.5500
7	scene 3	2.7360	0.5420	0.5020	0.4950	0.5410	0.5420	0.5430
7	scene 4	2.7360	0.5230	0.5100	0.4970	0.5180	0.5200	0.5200
8	total scene	2.7190	0.5990	0.5220	0.5550	0.6050	0.5950	0.5940
8	scene 1	2.7260	0.5080	0.4660	0.3250	0.5010	0.4980	0.5110
8	scene 2	2.7260	0.5440	0.4800	0.5250	0.5380	0.5450	0.5530
8	scene 3	2.7260	0.5540	0.4410	0.4550	0.5480	0.5550	0.5520
8	scene 4	2.7260	0.5350	0.4930	0.7310	0.5300	0.5280	0.5280
9	total scene	2.7080	0.6060	0.5260	0.5360	0.6130	0.6030	0.6000
9	scene 1	2.7140	0.5110	0.4890	0.3700	0.5070	0.5060	0.5300
9	scene 2	2.7140	0.5490	0.4840	0.5090	0.5430	0.5520	0.5600
9	scene 3	2.7140	0.5640	0.4600	0.4540	0.5580	0.5640	0.5580
9	scene 4	2.7140	0.5330	0.5190	0.5530	0.5310	0.5270	0.5270
10	total scene	2.7050	0.6080	0.5250	0.5630	0.6120	0.6050	0.6050
10	scene 1	2.7050	0.5110	0.5130	0.1560	0.5140	0.5160	0.5240
10	scene 2	2.7050	0.5490	0.4820	0.5340	0.5400	0.5520	0.5620
10	scene 3	2.7050	0.5610	0.4400	0.5190	0.5590	0.5650	0.5660
10	scene 4	2.7050	0.5360	0.4830	0.6670	0.5310	0.5330	0.5330
11	total scene	2.6900	0.6170	0.5250	0.5420	0.6250	0.6130	0.6110
11	scene 1	2.6940	0.5030	0.4880	0.2120	0.4980	0.4960	0.5200
11	scene 2	2.6940	0.5550	0.4790	0.5140	0.5500	0.5580	0.5660
11	scene 3	2.6940	0.5660	0.4330	0.4440	0.5600	0.5650	0.5660
11	scene 4	2.6940	0.5380	0.4990	0.4860	0.5360	0.5400	0.5400
12	total scene	2.6760	0.6240	0.5180	0.5590	0.6310	0.6220	0.6200
12	scene 1	2.6800	0.5070	0.4360	0.4740	0.5040	0.5070	0.5230
12	scene 2	2.6800	0.5620	0.4770	0.5320	0.5540	0.5650	0.5730
12	scene 3	2.6800	0.5700	0.4860	0.3690	0.5710	0.5760	0.5720
12	scene 4	2.6800	0.5580	0.4820	0.6390	0.5540	0.5560	0.5560
13	total scene	2.6730	0.6270	0.5320	0.5350	0.6370	0.6270	0.6260
13	scene 1	2.6690	0.5170	0.4840	0.2800	0.5150	0.5200	0.5470
13	scene 2	2.6690	0.5640	0.4830	0.4820	0.5590	0.5700	0.5790
13	scene 3	2.6690	0.5690	0.4580	0.4260	0.5680	0.5760	0.5740
13	scene 4	2.6690	0.5470	0.5140	0.7760	0.5450	0.5460	0.5460
14	total scene	2.6510	0.6350	0.5290	0.5500	0.6430	0.6340	0.6330
14	scene 1	2.6610	0.5200	0.4750	0.4880	0.5190	0.5290	0.5520
14	scene 2	2.6610	0.5700	0.4770	0.4940	0.5620	0.5740	0.5840
14	scene 3	2.6610	0.5830	0.4840	0.5670	0.5850	0.5920	0.5940
14	scene 4	2.6610	0.5570	0.5280	0.7300	0.5530	0.5560	0.5560
15	total scene	2.6500	0.6360	0.5370	0.5410	0.6430	0.6360	0.6340
