epoch 	 scene 	 val_loss 	 ratio_type 	 click_ratio 	 like_ratio 	 comment_auc 	 5s_ratio 	 10s_ratio 	 18s_ratio
1	total scene	4.122402	auc	0.696887	0.491566	0.464660	0.708047	0.693866	0.664989
1	total scene	4.122402	ndcg	0.552746	0.063621	0.000000	0.669862	0.835780	0.393278
1	scene 1	4.346127	auc	0.527554	0.501744	0.525670	0.530248	0.529271	0.527431
1	scene 1	4.346127	ndcg	0.000587	0.546945	0.688818	0.054215	0.000442	0.002026
1	scene 2	4.346127	auc	0.630060	0.486341	0.469569	0.623430	0.630493	0.623221
1	scene 1	4.346127	ndcg	0.182705	0.451342	0.587780	0.367899	0.049987	0.160605
1	scene 2	4.346127	auc	0.641748	0.536830	0.398051	0.651912	0.640423	0.623812
1	scene 3	4.346127	ndcg	0.262073	0.456294	0.619259	0.288342	0.210667	0.311738
1	scene 4	4.346127	auc	0.609866	0.459736	0.460476	0.610533	0.610476	0.610476
1	scene 4	4.346127	ndcg	0.598780	0.507583	0.646264	0.724678	0.439994	0.081716
2	total scene	4.089503	auc	0.722971	0.496528	0.415229	0.730319	0.724768	0.476834
2	total scene	4.089503	ndcg	0.866948	0.000000	0.000000	1.000000	0.795166	0.249664
2	scene 1	4.100081	auc	0.548585	0.507468	0.488122	0.551114	0.560714	0.499811
2	scene 1	4.100081	ndcg	0.000065	0.199928	0.140221	0.017376	0.000267	0.002409
2	scene 2	4.100081	auc	0.661578	0.493989	0.442048	0.651875	0.664679	0.497349
2	scene 1	4.100081	ndcg	0.093438	0.191625	0.020805	0.345365	0.101673	0.000000
2	scene 2	4.100081	auc	0.677750	0.526904	0.439717	0.682654	0.686629	0.481802
2	scene 3	4.100081	ndcg	0.339628	0.142780	0.050173	0.405207	0.276366	0.002425
2	scene 4	4.100081	auc	0.649726	0.466811	0.380472	0.644143	0.652841	0.652841
2	scene 4	4.100081	ndcg	0.665244	0.214114	0.049058	0.709255	0.513316	0.002630
3	total scene	4.068280	auc	0.745287	0.491596	0.413713	0.751684	0.745897	0.477434
3	total scene	4.068280	ndcg	0.791706	0.085143	0.000000	0.567682	0.838957	0.249664
3	scene 1	4.070219	auc	0.584207	0.508438	0.483581	0.590797	0.597299	0.500380
3	scene 1	4.070219	ndcg	0.000029	0.154151	0.124722	0.001090	0.000014	0.002439
3	scene 2	4.070219	auc	0.690409	0.487145	0.438571	0.680403	0.690728	0.497972
3	scene 1	4.070219	ndcg	0.124040	0.157029	0.015353	0.512874	0.180634	0.000000
3	scene 2	4.070219	auc	0.706207	0.520744	0.436890	0.710205	0.718218	0.482453
3	scene 3	4.070219	ndcg	0.319106	0.118162	0.040125	0.444746	0.257153	0.002451
3	scene 4	4.070219	auc	0.683161	0.458558	0.385111	0.679445	0.686375	0.686375
3	scene 4	4.070219	ndcg	0.651475	0.192843	0.038301	0.638844	0.496728	0.002681
4	total scene	4.058888	auc	0.753966	0.494095	0.413336	0.760379	0.755170	0.477595
4	total scene	4.058888	ndcg	0.710477	0.138862	0.000000	0.933746	0.820523	0.231773
4	scene 1	4.045468	auc	0.601215	0.511080	0.477942	0.609656	0.617273	0.501002
4	scene 1	4.045468	ndcg	0.000008	0.135047	0.109443	0.000347	0.000000	0.002102
4	scene 2	4.045468	auc	0.702131	0.489289	0.437937	0.692331	0.702655	0.498209
4	scene 1	4.045468	ndcg	0.130907	0.135844	0.010270	0.588420	0.243787	0.000000
4	scene 2	4.045468	auc	0.712523	0.525221	0.439092	0.717155	0.727282	0.482673
4	scene 3	4.045468	ndcg	0.350798	0.111765	0.033417	0.496383	0.302907	0.001927
4	scene 4	4.045468	auc	0.694486	0.461855	0.378845	0.693890	0.700055	0.700055
4	scene 4	4.045468	ndcg	0.638535	0.177022	0.030712	0.689915	0.584794	0.002797
5	total scene	4.055121	auc	0.758133	0.490127	0.412060	0.763440	0.758722	0.477856
5	total scene	4.055121	ndcg	0.665949	0.220092	0.000000	0.724153	1.000000	0.230474
5	scene 1	4.031500	auc	0.605877	0.510193	0.457008	0.615425	0.623469	0.501297
5	scene 1	4.031500	ndcg	0.000000	0.107104	0.091957	0.000493	0.000000	0.001897
5	scene 2	4.031500	auc	0.707363	0.484066	0.436236	0.696652	0.707118	0.498388
5	scene 1	4.031500	ndcg	0.146536	0.113324	0.008501	0.696998	0.285261	0.000000
5	scene 2	4.031500	auc	0.717167	0.520451	0.442321	0.721098	0.730410	0.482815
5	scene 3	4.031500	ndcg	0.438993	0.107180	0.031691	0.520270	0.328212	0.001816
5	scene 4	4.031500	auc	0.707299	0.453520	0.377694	0.700044	0.709096	0.709096
5	scene 4	4.031500	ndcg	0.774941	0.166247	0.027511	0.821124	0.787412	0.002509
6	total scene	4.054614	auc	0.759368	0.490722	0.414502	0.764336	0.760364	0.477869
6	total scene	4.054614	ndcg	0.861138	0.220092	0.000000	0.857205	0.669862	0.230474
6	scene 1	4.022341	auc	0.610328	0.505851	0.456313	0.621143	0.629035	0.501299
6	scene 1	4.022341	ndcg	0.000000	0.095926	0.089466	0.000107	0.000000	0.001976
6	scene 2	4.022341	auc	0.709190	0.483884	0.437776	0.698109	0.709353	0.498455
6	scene 1	4.022341	ndcg	0.143685	0.099760	0.009203	0.721393	0.323274	0.000000
6	scene 2	4.022341	auc	0.717418	0.521917	0.453720	0.719715	0.732609	0.482885
6	scene 3	4.022341	ndcg	0.469774	0.105088	0.031427	0.548779	0.407386	0.001882
6	scene 4	4.022341	auc	0.709009	0.453202	0.375412	0.702672	0.711001	0.711001
6	scene 4	4.022341	ndcg	0.719411	0.155754	0.028935	0.804210	0.823724	0.002471
7	total scene	4.054445	auc	0.760228	0.489208	0.415917	0.765171	0.761288	0.478326
