epoch 	 scene 	 val_loss 	 click_auc 	 like_auc 	 follow_auc 	 5s_auc 	 10s_auc 	 18s_auc
1	total scene	3.7220	0.6690	0.6100	0.5840	0.6780	0.6720	0.6730
1	scene 1	4.0490	0.5200	0.5250	0.0270	0.5190	0.5260	0.5490
1	scene 2	4.0490	0.5880	0.5700	0.5280	0.5800	0.5950	0.6080
1	scene 3	4.0490	0.6130	0.6170	0.5670	0.6080	0.6210	0.6210
1	scene 4	4.0490	0.5690	0.5680	0.5530	0.5630	0.5670	0.5670
2	total scene	2.5010	0.6780	0.6400	0.6590	0.6850	0.6830	0.6900
2	scene 1	2.5790	0.5270	0.5240	0.4770	0.5290	0.5350	0.5670
2	scene 2	2.5790	0.6000	0.6090	0.6290	0.5900	0.6100	0.6300
2	scene 3	2.5790	0.6230	0.5850	0.6170	0.6200	0.6340	0.6420
2	scene 4	2.5790	0.5790	0.5920	0.5380	0.5770	0.5850	0.5850
3	total scene	2.4880	0.6830	0.6640	0.7030	0.6920	0.6890	0.7000
3	scene 1	2.4930	0.5370	0.5620	0.5320	0.5370	0.5440	0.5750
3	scene 2	2.4930	0.6070	0.6370	0.6780	0.5980	0.6170	0.6430
3	scene 3	2.4930	0.6330	0.6030	0.6550	0.6330	0.6430	0.6570
3	scene 4	2.4930	0.5890	0.6000	0.5370	0.5850	0.5940	0.5940
4	total scene	2.4810	0.6860	0.6790	0.7220	0.6940	0.6930	0.7060
4	scene 1	2.4800	0.5370	0.5740	0.5710	0.5410	0.5480	0.5770
4	scene 2	2.4800	0.6110	0.6530	0.7000	0.6010	0.6230	0.6500
4	scene 3	2.4800	0.6370	0.6130	0.6560	0.6350	0.6450	0.6570
4	scene 4	2.4800	0.5980	0.6260	0.5510	0.5950	0.6050	0.6050
5	total scene	2.4700	0.6920	0.6890	0.7360	0.7000	0.6980	0.7120
5	scene 1	2.4690	0.5440	0.5810	0.6410	0.5460	0.5550	0.5870
5	scene 2	2.4690	0.6190	0.6640	0.7180	0.6090	0.6290	0.6580
