epoch 	 scene 	 val_loss 	 ratio_type 	 click_ratio 	 like_ratio 	 comment_auc 	 5s_ratio 	 10s_ratio 	 18s_ratio
1	total scene	4.216795	auc	0.702615	0.540536	0.521213	0.711438	0.699702	0.694125
1	total scene	4.216795	ndcg	0.681206	0.073364	0.000000	0.669862	0.436890	0.293456
1	scene 1	4.438154	auc	0.537687	0.483902	0.403698	0.540189	0.545124	0.561930
1	scene 1	4.438154	ndcg	0.003451	0.646920	0.616226	0.003291	0.005517	0.065177
1	scene 2	4.438154	auc	0.637105	0.519259	0.514297	0.630633	0.636306	0.646685
1	scene 1	4.438154	ndcg	0.167698	0.014981	0.006765	0.471042	0.300667	0.232166
1	scene 2	4.438154	auc	0.657104	0.537182	0.468847	0.664519	0.656160	0.649642
1	scene 3	4.438154	ndcg	0.319979	0.226871	0.079099	0.415606	0.222987	0.208096
1	scene 4	4.438154	auc	0.622750	0.536862	0.468016	0.617545	0.624234	0.624234
1	scene 4	4.438154	ndcg	0.669955	0.008263	0.180018	0.835472	0.343495	0.290603
2	total scene	4.064523	auc	0.743056	0.562403	0.559955	0.749182	0.744157	0.754585
2	total scene	4.064523	ndcg	1.000000	0.000000	0.000000	1.000000	0.936379	1.000000
2	scene 1	4.080395	auc	0.584688	0.484627	0.364162	0.593932	0.602615	0.639431
2	scene 1	4.080395	ndcg	0.000001	0.041041	0.028564	0.000123	0.000035	0.000106
2	scene 2	4.080395	auc	0.687884	0.555859	0.551133	0.677897	0.689601	0.711299
2	scene 1	4.080395	ndcg	0.084798	0.028979	0.046291	0.599657	0.335683	0.129157
2	scene 2	4.080395	auc	0.707970	0.565708	0.601548	0.712539	0.717489	0.728964
2	scene 3	4.080395	ndcg	0.434756	0.037295	0.052441	0.429693	0.192249	0.123687
2	scene 4	4.080395	auc	0.684540	0.530168	0.538709	0.681159	0.683659	0.683659
2	scene 4	4.080395	ndcg	0.634743	0.042157	0.037502	0.793701	0.480460	0.370632
3	total scene	4.049592	auc	0.754989	0.604829	0.581800	0.760515	0.756204	0.766346
3	total scene	4.049592	ndcg	0.889954	0.000000	0.000000	0.921602	0.914857	0.889954
3	scene 1	4.042789	auc	0.598272	0.543764	0.354852	0.613447	0.621904	0.655258
3	scene 1	4.042789	ndcg	0.000001	0.048917	0.035426	0.000515	0.000005	0.000293
3	scene 2	4.042789	auc	0.703503	0.588328	0.569145	0.693284	0.704477	0.725471
3	scene 1	4.042789	ndcg	0.219431	0.034673	0.069585	0.613117	0.381497	0.180035
3	scene 2	4.042789	auc	0.720929	0.595598	0.637798	0.725417	0.733328	0.740846
3	scene 3	4.042789	ndcg	0.463469	0.054156	0.073354	0.512051	0.217424	0.125243
3	scene 4	4.042789	auc	0.704170	0.554172	0.532766	0.698971	0.706272	0.706272
3	scene 4	4.042789	ndcg	0.607117	0.057569	0.057419	0.856119	0.566840	0.472680
4	total scene	4.043260	auc	0.759734	0.626948	0.601816	0.765284	0.760982	0.772352
4	total scene	4.043260	ndcg	1.000000	0.000000	0.000000	1.000000	1.000000	0.791706
4	scene 1	4.025492	auc	0.603823	0.567621	0.368767	0.621904	0.630246	0.661941
4	scene 1	4.025492	ndcg	0.000001	0.050720	0.041112	0.000071	0.000001	0.000049
4	scene 2	4.025492	auc	0.710140	0.605277	0.582734	0.700011	0.711256	0.733526
4	scene 1	4.025492	ndcg	0.205375	0.037033	0.065776	0.716373	0.398441	0.245267
4	scene 2	4.025492	auc	0.722634	0.608096	0.645193	0.729562	0.733999	0.743448
4	scene 3	4.025492	ndcg	0.477579	0.059010	0.063049	0.471148	0.251481	0.128433
4	scene 4	4.025492	auc	0.711441	0.566140	0.549384	0.706387	0.714576	0.714576
4	scene 4	4.025492	ndcg	0.652036	0.069576	0.069717	0.883513	0.614402	0.553740
5	total scene	4.041893	auc	0.762209	0.649161	0.626943	0.767534	0.763303	0.773625
5	total scene	4.041893	ndcg	0.861138	0.220092	0.000000	0.845426	0.889954	0.816590
5	scene 1	4.015966	auc	0.609420	0.569340	0.398501	0.627324	0.636264	0.667685
5	scene 1	4.015966	ndcg	0.000000	0.040663	0.035093	0.000527	0.000000	0.000007
5	scene 2	4.015966	auc	0.713162	0.623198	0.602063	0.702896	0.714222	0.735031
5	scene 1	4.015966	ndcg	0.188990	0.018125	0.035103	0.711451	0.387182	0.257151
5	scene 2	4.015966	auc	0.725257	0.626108	0.653780	0.731610	0.737848	0.746046
5	scene 3	4.015966	ndcg	0.504063	0.035640	0.033934	0.459564	0.247382	0.135832
5	scene 4	4.015966	auc	0.715522	0.590614	0.610009	0.709528	0.717517	0.717517
5	scene 4	4.015966	ndcg	0.606742	0.043411	0.041962	0.857634	0.579259	0.527476
6	total scene	4.039618	auc	0.763361	0.646724	0.607693	0.768398	0.764741	0.775132
6	total scene	4.039618	ndcg	1.000000	0.220092	0.000000	0.852171	0.851236	0.921602
6	scene 1	4.010905	auc	0.612408	0.555451	0.396643	0.630883	0.639181	0.669056
6	scene 1	4.010905	ndcg	0.000000	0.030773	0.023937	0.000231	0.000000	0.000002
6	scene 2	4.010905	auc	0.714957	0.618731	0.580684	0.704369	0.716252	0.737335
6	scene 1	4.010905	ndcg	0.204159	0.011248	0.020514	0.696652	0.380487	0.257132
6	scene 2	4.010905	auc	0.725947	0.619910	0.598408	0.732020	0.739516	0.748390
6	scene 3	4.010905	ndcg	0.528299	0.029884	0.025302	0.505662	0.319191	0.136478
6	scene 4	4.010905	auc	0.716327	0.603891	0.602551	0.709433	0.719612	0.719612
6	scene 4	4.010905	ndcg	0.631058	0.028647	0.026905	0.865074	0.626026	0.521398
7	total scene	4.039599	auc	0.763907	0.636665	0.602953	0.768922	0.765207	0.774982
7	total scene	4.039599	ndcg	1.000000	0.138862	0.000000	0.921602	0.905212	0.936379
7	scene 1	4.006800	auc	0.612282	0.558630	0.379994	0.630015	0.640045	0.668391
7	scene 1	4.006800	ndcg	0.000000	0.034429	0.023904	0.000266	0.000000	0.000020
7	scene 2	4.006800	auc	0.715928	0.606417	0.575879	0.705356	0.717058	0.737610
7	scene 1	4.006800	ndcg	0.235321	0.012511	0.024167	0.716959	0.377346	0.248432
7	scene 2	4.006800	auc	0.726373	0.604728	0.587128	0.730885	0.742324	0.749996
7	scene 3	4.006800	ndcg	0.508856	0.035375	0.031469	0.464913	0.355492	0.201834
7	scene 4	4.006800	auc	0.716402	0.608174	0.610327	0.709533	0.719546	0.719546
7	scene 4	4.006800	ndcg	0.639574	0.033036	0.039364	0.839016	0.611492	0.461144
8	total scene	4.040256	auc	0.763742	0.620034	0.587720	0.768900	0.765340	0.776282
8	total scene	4.040256	ndcg	0.841591	0.220092	0.000000	0.905212	0.826813	0.914857
8	scene 1	4.003274	auc	0.613704	0.544481	0.390604	0.631710	0.641265	0.670120
8	scene 1	4.003274	ndcg	0.000000	0.033697	0.027690	0.000023	0.000000	0.000001
8	scene 2	4.003274	auc	0.715588	0.588222	0.562411	0.705300	0.717213	0.739128
8	scene 1	4.003274	ndcg	0.249742	0.009050	0.019141	0.721953	0.374529	0.254361
8	scene 2	4.003274	auc	0.724971	0.571594	0.540283	0.730243	0.739401	0.749122
8	scene 3	4.003274	ndcg	0.538342	0.029437	0.023851	0.490746	0.352055	0.134296
8	scene 4	4.003274	auc	0.717009	0.592361	0.587416	0.709481	0.720101	0.720101
8	scene 4	4.003274	ndcg	0.642268	0.030505	0.034237	0.868463	0.713412	0.532403
9	total scene	4.042071	auc	0.762306	0.614976	0.581312	0.767800	0.764157	0.776152
9	total scene	4.042071	ndcg	1.000000	0.110046	0.000000	1.000000	0.857981	1.000000
9	scene 1	4.000612	auc	0.612200	0.523716	0.358049	0.630855	0.640510	0.671163
9	scene 1	4.000612	ndcg	0.000000	0.039515	0.026481	0.000000	0.000000	0.000001
9	scene 2	4.000612	auc	0.713863	0.582310	0.553468	0.704004	0.715627	0.738660
9	scene 1	4.000612	ndcg	0.239900	0.012966	0.034791	0.712693	0.379788	0.261363
9	scene 2	4.000612	auc	0.721122	0.570069	0.541816	0.726313	0.736743	0.748157
9	scene 3	4.000612	ndcg	0.488127	0.043146	0.038403	0.491804	0.373741	0.077089
9	scene 4	4.000612	auc	0.713332	0.591814	0.596375	0.706149	0.717899	0.717899
9	scene 4	4.000612	ndcg	0.684744	0.043345	0.055488	0.863876	0.759601	0.539382
10	total scene	4.043456	auc	0.763679	0.616736	0.569195	0.768768	0.765261	0.775940
10	total scene	4.043456	ndcg	0.779908	0.220092	0.000000	0.628146	1.000000	0.889954
10	scene 1	3.998697	auc	0.611164	0.536820	0.332076	0.629893	0.638813	0.670789
10	scene 1	3.998697	ndcg	0.000000	0.050585	0.030745	0.000002	0.000000	0.000000
10	scene 2	3.998697	auc	0.715577	0.584405	0.544252	0.705215	0.717048	0.738633
10	scene 1	3.998697	ndcg	0.269312	0.012238	0.027387	0.718789	0.381320	0.260105
10	scene 2	3.998697	auc	0.726238	0.580810	0.531191	0.729798	0.740655	0.747527
10	scene 3	3.998697	ndcg	0.502182	0.047315	0.039050	0.465589	0.347951	0.119599
10	scene 4	3.998697	auc	0.714882	0.578071	0.525788	0.707369	0.718675	0.718675
10	scene 4	3.998697	ndcg	0.637126	0.045479	0.046709	0.865285	0.748170	0.590904
11	total scene	4.043249	auc	0.763165	0.609226	0.560784	0.768280	0.765276	0.776323
11	total scene	4.043249	ndcg	0.926636	0.220092	0.000000	0.905212	1.000000	0.779908
11	scene 1	3.996816	auc	0.612591	0.524120	0.335278	0.629789	0.639356	0.669252
11	scene 1	3.996816	ndcg	0.000000	0.054049	0.028234	0.000000	0.000000	0.000000
11	scene 2	3.996816	auc	0.715017	0.575012	0.533341	0.704722	0.717077	0.739334
11	scene 1	3.996816	ndcg	0.227718	0.013827	0.026087	0.712361	0.377053	0.264900
11	scene 2	3.996816	auc	0.722506	0.567949	0.519196	0.727216	0.737558	0.746239
11	scene 3	3.996816	ndcg	0.529909	0.053130	0.050563	0.494078	0.334728	0.152299
11	scene 4	3.996816	auc	0.715099	0.574549	0.532891	0.707295	0.719137	0.719137
11	scene 4	3.996816	ndcg	0.618683	0.052724	0.044406	0.864458	0.767555	0.566129
12	total scene	4.043219	auc	0.763195	0.602758	0.557062	0.768197	0.765480	0.776749
12	total scene	4.043219	ndcg	0.820068	0.110046	0.000000	1.000000	0.841591	1.000000
12	scene 1	3.995481	auc	0.611600	0.501494	0.341035	0.629550	0.639370	0.669508
12	scene 1	3.995481	ndcg	0.000000	0.038376	0.026518	0.000000	0.000000	0.000000
12	scene 2	3.995481	auc	0.715093	0.566524	0.528607	0.704569	0.717037	0.739614
12	scene 1	3.995481	ndcg	0.272879	0.013534	0.028259	0.700811	0.379588	0.261902
12	scene 2	3.995481	auc	0.723841	0.566794	0.498750	0.728083	0.739283	0.747957
12	scene 3	3.995481	ndcg	0.518937	0.070885	0.052732	0.506238	0.343002	0.154628
12	scene 4	3.995481	auc	0.714009	0.574699	0.516273	0.706751	0.719799	0.719799
12	scene 4	3.995481	ndcg	0.626057	0.060202	0.048746	0.864340	0.777258	0.577824
13	total scene	4.045729	auc	0.762186	0.591241	0.559391	0.767292	0.765386	0.776740
13	total scene	4.045729	ndcg	0.861138	0.073364	0.000000	0.600431	0.921602	0.750637
13	scene 1	3.993839	auc	0.611537	0.498599	0.361097	0.628729	0.637848	0.671230
13	scene 1	3.993839	ndcg	0.000000	0.038469	0.022633	0.000000	0.000000	0.000000
13	scene 2	3.993839	auc	0.713758	0.553874	0.527082	0.703436	0.716988	0.739560
13	scene 1	3.993839	ndcg	0.301216	0.007440	0.024839	0.716099	0.383672	0.263066
13	scene 2	3.993839	auc	0.722358	0.545010	0.509241	0.726030	0.737998	0.747673
13	scene 3	3.993839	ndcg	0.509612	0.057884	0.038743	0.531712	0.364557	0.191788
13	scene 4	3.993839	auc	0.711133	0.560326	0.560450	0.702844	0.717848	0.717848
13	scene 4	3.993839	ndcg	0.619403	0.042578	0.044738	0.864316	0.753332	0.562458
14	total scene	4.044829	auc	0.761468	0.581395	0.537634	0.766750	0.764693	0.776756
14	total scene	4.044829	ndcg	0.926636	0.220092	0.000000	0.741670	0.926636	0.710477
14	scene 1	3.992571	auc	0.607247	0.485845	0.355601	0.625272	0.637127	0.668611
14	scene 1	3.992571	ndcg	0.000000	0.042695	0.020630	0.000000	0.000000	0.000000
14	scene 2	3.992571	auc	0.712837	0.545103	0.511468	0.702545	0.715920	0.739846
14	scene 1	3.992571	ndcg	0.293071	0.013811	0.031894	0.715830	0.380170	0.254205
14	scene 2	3.992571	auc	0.721536	0.530585	0.480104	0.725161	0.736339	0.747947
14	scene 3	3.992571	ndcg	0.485606	0.081269	0.079124	0.533120	0.385370	0.108228
14	scene 4	3.992571	auc	0.709445	0.554225	0.516901	0.702395	0.718012	0.718012
14	scene 4	3.992571	ndcg	0.679148	0.078634	0.075547	0.864317	0.781191	0.451905
15	total scene	4.047662	auc	0.761278	0.584425	0.545359	0.766152	0.764677	0.776376
15	total scene	4.047662	ndcg	0.933746	0.138862	0.000000	0.793584	0.778807	0.653147
15	scene 1	3.991671	auc	0.606875	0.499391	0.349219	0.624339	0.636307	0.668717
15	scene 1	3.991671	ndcg	0.000000	0.037635	0.020729	0.000000	0.000000	0.000000
15	scene 2	3.991671	auc	0.712791	0.545640	0.513992	0.702042	0.715965	0.739318
15	scene 1	3.991671	ndcg	0.301468	0.012050	0.026534	0.715686	0.382619	0.283527
15	scene 2	3.991671	auc	0.720547	0.539672	0.501801	0.723118	0.736861	0.747401
15	scene 3	3.991671	ndcg	0.501545	0.064311	0.081735	0.534093	0.401551	0.182829
15	scene 4	3.991671	auc	0.708062	0.563087	0.526953	0.701349	0.718097	0.718097
15	scene 4	3.991671	ndcg	0.622996	0.059452	0.058109	0.864367	0.780377	0.575688
16	total scene	4.048456	auc	0.760763	0.578653	0.548318	0.765945	0.765058	0.777342
16	total scene	4.048456	ndcg	0.848603	0.217261	0.000000	0.933746	0.753449	0.669862
16	scene 1	3.990505	auc	0.600920	0.492670	0.350081	0.619986	0.633193	0.666902
16	scene 1	3.990505	ndcg	0.000000	0.023824	0.021719	0.000000	0.000000	0.000000
16	scene 2	3.990505	auc	0.712104	0.538224	0.513457	0.701746	0.716519	0.740285
16	scene 1	3.990505	ndcg	0.304824	0.013243	0.025737	0.716160	0.382926	0.300792
16	scene 2	3.990505	auc	0.719973	0.547864	0.521682	0.723230	0.736702	0.748241
16	scene 3	3.990505	ndcg	0.485369	0.073716	0.090503	0.533809	0.385552	0.154770
16	scene 4	3.990505	auc	0.707625	0.546736	0.527182	0.701038	0.717368	0.717368
16	scene 4	3.990505	ndcg	0.697629	0.068207	0.062611	0.864326	0.783833	0.585378
17	total scene	4.048797	auc	0.759101	0.565350	0.535153	0.764178	0.764056	0.776242
17	total scene	4.048797	ndcg	0.921602	0.173187	0.000000	0.766349	0.623554	0.836459
17	scene 1	3.989358	auc	0.587746	0.485104	0.332297	0.604760	0.633109	0.665064
17	scene 1	3.989358	ndcg	0.000000	0.018402	0.008752	0.000000	0.000000	0.000000
17	scene 2	3.989358	auc	0.710277	0.524946	0.503812	0.699885	0.715302	0.739317
17	scene 1	3.989358	ndcg	0.235329	0.011831	0.023579	0.716281	0.382219	0.270960
17	scene 2	3.989358	auc	0.718216	0.530304	0.477217	0.720389	0.735542	0.746912
17	scene 3	3.989358	ndcg	0.486346	0.072982	0.080373	0.534068	0.351730	0.153627
17	scene 4	3.989358	auc	0.703191	0.539454	0.518303	0.696192	0.716544	0.716544
17	scene 4	3.989358	ndcg	0.801618	0.077294	0.041224	0.864318	0.777544	0.591195
18	total scene	4.048673	auc	0.759397	0.567549	0.544624	0.764432	0.764203	0.776673
18	total scene	4.048673	ndcg	0.685120	0.138862	0.000000	0.820068	0.926636	0.713654
18	scene 1	3.988650	auc	0.583938	0.496568	0.369870	0.594450	0.635141	0.668033
18	scene 1	3.988650	ndcg	0.000000	0.009921	0.011064	0.000000	0.000000	0.000000
18	scene 2	3.988650	auc	0.710624	0.527453	0.510763	0.700134	0.715261	0.739421
18	scene 1	3.988650	ndcg	0.229743	0.010312	0.015173	0.716252	0.382746	0.275612
18	scene 2	3.988650	auc	0.718269	0.534108	0.503170	0.720055	0.735134	0.747050
18	scene 3	3.988650	ndcg	0.543646	0.054582	0.092583	0.534174	0.358859	0.128680
18	scene 4	3.988650	auc	0.705157	0.536557	0.520190	0.697666	0.715787	0.715787
18	scene 4	3.988650	ndcg	0.676677	0.039006	0.026025	0.864322	0.774468	0.550929
19	total scene	4.048757	auc	0.758813	0.558677	0.530861	0.763689	0.764516	0.776447
19	total scene	4.048757	ndcg	0.766349	0.234406	0.000000	0.889954	0.618866	0.905212
19	scene 1	3.987671	auc	0.573527	0.490263	0.377300	0.580695	0.633538	0.667369
19	scene 1	3.987671	ndcg	0.000000	0.012543	0.008712	0.000000	0.000000	0.000000
19	scene 2	3.987671	auc	0.710245	0.517889	0.497918	0.699510	0.715775	0.739372
19	scene 1	3.987671	ndcg	0.223078	0.012230	0.011190	0.716284	0.382844	0.262527
19	scene 2	3.987671	auc	0.717604	0.532360	0.497024	0.720215	0.736288	0.746916
19	scene 3	3.987671	ndcg	0.496733	0.068595	0.114863	0.534151	0.350909	0.136887
19	scene 4	3.987671	auc	0.702350	0.527200	0.495079	0.696528	0.714663	0.714663
19	scene 4	3.987671	ndcg	0.683973	0.051475	0.032883	0.864315	0.772474	0.511974
20	total scene	4.050781	auc	0.757495	0.553716	0.527858	0.762249	0.763758	0.776237
20	total scene	4.050781	ndcg	0.775239	0.381134	0.000000	0.926636	0.633199	0.713654
20	scene 1	3.986745	auc	0.571557	0.493666	0.360968	0.570691	0.634931	0.668011
20	scene 1	3.986745	ndcg	0.000000	0.012963	0.000000	0.000000	0.000000	0.000000
20	scene 2	3.986745	auc	0.708426	0.512300	0.493261	0.697717	0.714615	0.738839
20	scene 1	3.986745	ndcg	0.221361	0.012514	0.012724	0.716130	0.382335	0.279637
20	scene 2	3.986745	auc	0.715545	0.526733	0.513437	0.718172	0.734738	0.746857
20	scene 3	3.986745	ndcg	0.547927	0.035951	0.112580	0.534177	0.349402	0.083001
20	scene 4	3.986745	auc	0.700727	0.522021	0.486828	0.693244	0.714255	0.714255
20	scene 4	3.986745	ndcg	0.771638	0.044408	0.025354	0.865062	0.773535	0.565389
21	total scene	4.049701	auc	0.757484	0.550746	0.529012	0.762817	0.764051	0.776025
21	total scene	4.049701	ndcg	0.936379	0.322272	0.000000	0.750637	1.000000	0.779908
21	scene 1	3.986105	auc	0.550236	0.482974	0.374760	0.562919	0.631903	0.667197
21	scene 1	3.986105	ndcg	0.000000	0.006053	0.000000	0.000000	0.000000	0.000000
21	scene 2	3.986105	auc	0.709489	0.510895	0.497497	0.699003	0.715221	0.739087
21	scene 1	3.986105	ndcg	0.221414	0.004354	0.008275	0.716280	0.383043	0.309900
21	scene 2	3.986105	auc	0.715369	0.517916	0.488438	0.717534	0.734633	0.746316
21	scene 3	3.986105	ndcg	0.484901	0.039414	0.055426	0.534169	0.342035	0.139325
21	scene 4	3.986105	auc	0.701077	0.530485	0.503066	0.694917	0.713845	0.713845
21	scene 4	3.986105	ndcg	0.603018	0.038325	0.026457	0.864315	0.752429	0.520166
22	total scene	4.051865	auc	0.756026	0.549491	0.529829	0.761341	0.763197	0.775965
22	total scene	4.051865	ndcg	0.574792	0.408536	0.000000	0.841493	0.794883	0.667826
22	scene 1	3.985308	auc	0.546250	0.484283	0.371753	0.552048	0.615179	0.657739
22	scene 1	3.985308	ndcg	0.000000	0.008156	0.000000	0.000000	0.000000	0.000000
22	scene 2	3.985308	auc	0.707915	0.511200	0.497386	0.697944	0.714284	0.738751
22	scene 1	3.985308	ndcg	0.221244	0.008185	0.005786	0.716388	0.383188	0.282720
22	scene 2	3.985308	auc	0.713745	0.522071	0.506220	0.715534	0.732514	0.745796
22	scene 3	3.985308	ndcg	0.490546	0.031521	0.086798	0.534177	0.352091	0.145882
22	scene 4	3.985308	auc	0.698690	0.528316	0.512746	0.693102	0.712431	0.712431
22	scene 4	3.985308	ndcg	0.696410	0.025306	0.028895	0.864315	0.727975	0.601635
23	total scene	4.052051	auc	0.756320	0.547406	0.530865	0.761635	0.762713	0.775458
23	total scene	4.052051	ndcg	0.933746	0.315163	0.000000	0.461569	1.000000	0.413205
23	scene 1	3.984861	auc	0.545791	0.483071	0.374221	0.550562	0.613725	0.654164
23	scene 1	3.984861	ndcg	0.000000	0.007826	0.000000	0.000000	0.000000	0.000000
23	scene 2	3.984861	auc	0.708063	0.508049	0.499220	0.697873	0.713522	0.738010
23	scene 1	3.984861	ndcg	0.221393	0.004568	0.003725	0.716288	0.383267	0.259501
23	scene 2	3.984861	auc	0.713539	0.524487	0.498973	0.716260	0.731745	0.744721
23	scene 3	3.984861	ndcg	0.485730	0.022951	0.063016	0.534176	0.369520	0.141220
23	scene 4	3.984861	auc	0.699459	0.531124	0.505967	0.694369	0.712353	0.712353
23	scene 4	3.984861	ndcg	0.641819	0.039628	0.022723	0.864315	0.777404	0.577982
24	total scene	4.051743	auc	0.755546	0.538427	0.524647	0.760059	0.762627	0.775467
24	total scene	4.051743	ndcg	0.498271	0.220092	0.000000	1.000000	0.779908	0.778807
24	scene 1	3.983973	auc	0.535397	0.479783	0.382749	0.536506	0.596965	0.648010
24	scene 1	3.983973	ndcg	0.000000	0.009160	0.000000	0.000000	0.000000	0.000000
24	scene 2	3.983973	auc	0.708429	0.499865	0.492773	0.697812	0.713888	0.738373
24	scene 1	3.983973	ndcg	0.221301	0.010696	0.005895	0.716265	0.383222	0.261752
24	scene 2	3.983973	auc	0.713930	0.515372	0.492083	0.715892	0.732494	0.745868
24	scene 3	3.983973	ndcg	0.493331	0.021802	0.062797	0.533990	0.366729	0.148140
24	scene 4	3.983973	auc	0.700537	0.527173	0.512356	0.694283	0.712227	0.712227
24	scene 4	3.983973	ndcg	0.601565	0.038371	0.025270	0.864315	0.770472	0.511895
25	total scene	4.050405	auc	0.754513	0.535629	0.516783	0.758818	0.762532	0.775183
25	total scene	4.050405	ndcg	0.574792	0.305235	0.000000	0.765594	0.702631	0.930569
25	scene 1	3.983431	auc	0.530625	0.480161	0.383185	0.531719	0.587766	0.633934
25	scene 1	3.983431	ndcg	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
25	scene 2	3.983431	auc	0.707688	0.498186	0.486734	0.697539	0.713500	0.737980
25	scene 1	3.983431	ndcg	0.221554	0.011051	0.005980	0.716286	0.383151	0.258817
25	scene 2	3.983431	auc	0.711615	0.509089	0.474896	0.713826	0.731545	0.744578
25	scene 3	3.983431	ndcg	0.486447	0.024676	0.068524	0.534176	0.349021	0.168332
25	scene 4	3.983431	auc	0.700561	0.522765	0.510079	0.694057	0.712423	0.712423
25	scene 4	3.983431	ndcg	0.663818	0.032270	0.028250	0.864315	0.777828	0.486298
26	total scene	4.051437	auc	0.753402	0.533303	0.518953	0.758044	0.762752	0.775229
26	total scene	4.051437	ndcg	0.590049	0.158507	0.000000	0.694765	0.782739	0.753449
26	scene 1	3.983164	auc	0.523534	0.470075	0.368572	0.527294	0.574741	0.606004
26	scene 1	3.983164	ndcg	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
26	scene 2	3.983164	auc	0.707267	0.494545	0.486307	0.697240	0.714195	0.738332
26	scene 1	3.983164	ndcg	0.221194	0.009348	0.005896	0.716271	0.383172	0.262073
26	scene 2	3.983164	auc	0.711217	0.508647	0.494509	0.713776	0.731156	0.744632
26	scene 3	3.983164	ndcg	0.484944	0.015393	0.053230	0.534174	0.347919	0.139584
26	scene 4	3.983164	auc	0.697855	0.525531	0.508950	0.692164	0.711298	0.711298
26	scene 4	3.983164	ndcg	0.685645	0.021112	0.016888	0.864315	0.777878	0.493093
27	total scene	4.052985	auc	0.751695	0.521712	0.504208	0.757721	0.761829	0.774835
27	total scene	4.052985	ndcg	1.000000	0.179477	0.000000	0.921602	0.766349	0.677728
27	scene 1	3.982476	auc	0.521402	0.459126	0.367859	0.528672	0.564438	0.616837
27	scene 1	3.982476	ndcg	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
27	scene 2	3.982476	auc	0.705687	0.486387	0.472897	0.696219	0.713475	0.738033
27	scene 1	3.982476	ndcg	0.221255	0.010754	0.005412	0.716287	0.383171	0.258905
27	scene 2	3.982476	auc	0.711325	0.496247	0.488333	0.713064	0.730445	0.744423
27	scene 3	3.982476	ndcg	0.524976	0.006241	0.055230	0.534177	0.348054	0.163047
27	scene 4	3.982476	auc	0.693886	0.514859	0.518651	0.690342	0.708781	0.708781
27	scene 4	3.982476	ndcg	0.816545	0.024714	0.021136	0.864315	0.777871	0.531519
28	total scene	4.053515	auc	0.752500	0.529287	0.517945	0.756452	0.761747	0.774131
28	total scene	4.053515	ndcg	0.921602	0.078398	0.000000	1.000000	0.820068	0.716485
28	scene 1	3.982180	auc	0.527410	0.461396	0.373785	0.529914	0.566049	0.588532
28	scene 1	3.982180	ndcg	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
28	scene 2	3.982180	auc	0.705726	0.492397	0.484591	0.695275	0.713238	0.737882
28	scene 1	3.982180	ndcg	0.221467	0.004329	0.006179	0.716288	0.383171	0.263759
28	scene 2	3.982180	auc	0.711763	0.503828	0.482485	0.712816	0.730516	0.744483
28	scene 3	3.982180	ndcg	0.485461	0.005855	0.030855	0.534177	0.352999	0.208376
28	scene 4	3.982180	auc	0.693588	0.517795	0.540936	0.688242	0.708419	0.708419
28	scene 4	3.982180	ndcg	0.823475	0.015059	0.017291	0.864315	0.777873	0.575462
29	total scene	4.053563	auc	0.752533	0.521304	0.506209	0.755540	0.761099	0.774080
29	total scene	4.053563	ndcg	0.860382	0.000000	0.000000	0.921602	1.000000	0.501729
29	scene 1	3.981694	auc	0.526365	0.463006	0.358875	0.524594	0.553884	0.596108
29	scene 1	3.981694	ndcg	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
29	scene 2	3.981694	auc	0.705862	0.486323	0.475627	0.695090	0.713077	0.737631
29	scene 1	3.981694	ndcg	0.224162	0.004891	0.004288	0.716288	0.383170	0.268083
29	scene 2	3.981694	auc	0.710762	0.501864	0.476681	0.710901	0.729724	0.743711
29	scene 3	3.981694	ndcg	0.485347	0.003544	0.022596	0.534175	0.370581	0.144099
29	scene 4	3.981694	auc	0.693605	0.505892	0.512491	0.688618	0.708615	0.708615
29	scene 4	3.981694	ndcg	0.794240	0.017139	0.009569	0.864315	0.777872	0.570088
30	total scene	4.052947	auc	0.751703	0.527152	0.518133	0.756173	0.760091	0.772384
30	total scene	4.052947	ndcg	0.656303	0.078398	0.000000	0.930569	0.656303	0.820523
